URL,Status,MentionedURL,MentionedSource,MentionedProperty,MentionedAuthor
https://chat.openai.com/share/53b38605-68e5-4922-81fe-e4588fb28d8a,200,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/blob/024901492a40d2c12e4aa23fb6104385a436ff90/README.md,code file,code,JushBJJ
https://chat.openai.com/share/bb0d35d9-0239-492e-9ec2-49505aae202b,200,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/blob/024901492a40d2c12e4aa23fb6104385a436ff90/README.md,code file,code,JushBJJ
https://chat.openai.com/share/a4336af0-6faa-4ffb-b5b0-a3bd7ef8f3aa,200,https://github.com/swyxio/ai-notes/blob/cc14012398f953723a31a67e8438e8efdd2a514d/Resources/ChatGPT%20Code%20Interpreter%20Capabilities.md,code file,code,swyx
https://chat.openai.com/share/38301a21-bf09-4274-848b-b9cd5523d461,200,https://github.com/swyxio/ai-notes/blob/cc14012398f953723a31a67e8438e8efdd2a514d/Resources/ChatGPT%20Code%20Interpreter%20Capabilities.md,code file,code,swyx
https://chat.openai.com/share/770ab170-8fed-402f-850f-e6d7273e77cd,200,https://github.com/swyxio/ai-notes/blob/cc14012398f953723a31a67e8438e8efdd2a514d/Resources/ChatGPT%20Code%20Interpreter%20Capabilities.md,code file,code,swyx
https://chat.openai.com/share/adc73608-4c80-497b-ad03-31de28bfa919,200,https://github.com/swyxio/ai-notes/blob/cc14012398f953723a31a67e8438e8efdd2a514d/Resources/ChatGPT%20Code%20Interpreter%20Capabilities.md,code file,code,swyx
https://chat.openai.com/share/a2a213c7-cb1e-441e-a651-129333fefb72,200,https://github.com/Shaunwei/RealChar/blob/09ecc65b188746c2f2125506a5cf60c27c81b0d7/realtime_ai_character/character_catalog/How_to_make,code file,code,pycui
https://chat.openai.com/share/73f29bc2-bbfe-43f1-a3a7-a3ce82a299c3,200,https://github.com/Shaunwei/RealChar/blob/09ecc65b188746c2f2125506a5cf60c27c81b0d7/realtime_ai_character/character_catalog/How_to_make,code file,code,pycui
https://chat.openai.com/share/cc0eb433-9bc0-48ea-861a-dfc7ed5acf43,200,https://github.com/epicweb-dev/epic-stack/blob/008f756323abb28053f2786341b4dd109de5ad43/docs/decisions/012-cuid.md,code file,code,kentcdodds
https://chat.openai.com/share/e0363ebf-ed6f-4fd8-9b76-ebf422ed9f62,200,https://github.com/leanprover-community/mathlib4/blob/61fc05bca210b556703c897004b5a03fca41fb7b/scripts/align-import.py,code file,code,urkud
https://chat.openai.com/share/658ae712-43f8-4c4e-ba39-ce0ca50d9b97,200,https://github.com/yzfly/LangGPT/blob/7a6febdd926033a7693a8d574350c100d961ff7c/README_zh.md,code file,code,yzfly
https://chat.openai.com/share/a9e4fb74-5366-4c4c-9998-d6caeb8b5acc,200,https://github.com/rectorphp/rector/blob/07dd65650f09d440fd0d75bffcc7ed1c35b87fda/rules/TypeDeclaration/Rector/ClassMethod/NumericReturnTypeFromStrictScalarReturnsRector.php,code file,code,TomasVotruba
https://chat.openai.com/share/448133aa-c96f-40e9-8b2f-2972365a5243,200,https://github.com/mtolly/onyxite-customs/blob/4a75fc13a90a2ef821108af2030bc8429ab96d4e/scripts/reaper/talkies.lua,code file,code,mtolly
https://chat.openai.com/share/2fd78ddd-ad7d-4e3d-be4b-31efe79a65da,200,https://github.com/simonw/til/blob/8530ae421baa18199a493c17708b20adc60c43f7/gpt3/picking-python-project-name-chatgpt.md,code file,code,simonw
https://chat.openai.com/share/6ce97dcb-7023-48c8-ac8c-8bac467a56b5,200,https://github.com/scripting/Scripting-News/blob/6be31c45900cf415d25d68cca91d4aaa990a6e7a/blog/pages/2023/05/31.html,code file,code,scripting
